Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Defaults and Dismissals,Divine Senior Care Inc,2014002847,,9/1/2015
Settlement Agreements,Divine Touch Companionship Services LLC,2022016719,22-589PH,2/6/2023
Defaults and Dismissals,Divine Touch Home Care LLC,2024009746,,8/16/2024
Settlement Agreements,Divine Vision Support Services Inc,2024-000023461,,7/1/2024
Defaults and Dismissals,Divinity Care Inc,2011011992,,1/19/2012
Settlement Agreements,Divinity Home Healthcare LLC,2023014457,23-546PH,11/6/2023
Defaults and Dismissals,Divinity Home Healthcare LLC,2026001066,26-096PH,3/2/2026
Defaults and Dismissals,Divinity Premier Homecare LLC,2026004499,,6/8/2026
Defaults and Dismissals,Divinity Premier Homecare LLC,2026008053,,6/23/2026
Defaults and Dismissals,Dixie County,13-755CB,,9/4/2013
Defaults and Dismissals,Dixie County,13-827CB,,9/10/2013
Defaults and Dismissals,Dixie County,13-611CB,,7/26/2013
Defaults and Dismissals,Dixie County,13-687CB,,8/7/2013
Defaults and Dismissals,Dixie County,13-1072CB,,12/10/2013
Defaults and Dismissals,Dixie County,13-1032CB,,11/1/2013
Defaults and Dismissals,Dixie County,13-875CB,,10/14/2013
Defaults and Dismissals,Dixie County,13-927CB,,10/21/2013
Defaults and Dismissals,Dixie County,13-315CB,,4/25/2013
Defaults and Dismissals,Dixie County,13-437CB,,5/23/2013
Defaults and Dismissals,Dixie County,13-530CB,,6/24/2013
Defaults and Dismissals,Dixie County,13-240CB,,3/29/2013
Defaults and Dismissals,Dixie County,13-180CB,,3/25/2013
Defaults and Dismissals,Dixie County,13-32CB,,2/27/2013
Defaults and Dismissals,"Dixie Health Care Center, LP",,98-2550,2/8/1999
Defaults and Dismissals,"Dixie Health Care Center, LP, Inc",,95-2333 through 95-2339; 95-3000; 95-2340 through 95-2344; 95-3001,10/13/1995
Defaults and Dismissals,"Dixie Health Care Center, LP, Inc, et al",,95-2333 through 95-2336; 95-2338 through 95-2344; 95-3000; 95-3001,10/23/1995
Settlement Agreements,"Dixie Health Care Center, LP, Inc, et al",,95-2333; 95-2334; 95-2335; 95-2336; 95-2343; 95-2344; 95-3000; 95-3001,1/19/1996
Defaults and Dismissals,"Dixie Healthcare Investors, LP dba Cross City Rehabilitation",NH03-013G,,4/11/2006
Defaults and Dismissals,Dixie Highways SNF LLC,NH16975,,5/5/2015
Recommended Orders,Dixie Lodge,04-01-0018-ALF,01-2812,12/31/2001
Defaults and Dismissals,Dixie Lodge,2014008585,,12/18/2014
Defaults and Dismissals,Dixie Lodge,2012006900,,4/17/2013
Defaults and Dismissals,Dixie Lodge,2013001193,,4/17/2013
Defaults and Dismissals,Dixie Lodge,2014002042,,6/19/2014
Settlement Agreements,Dixie Lodge,2011007764,11-5095,12/22/2011
Recommended Orders,Dixie Lodge Assisted Living Facility,2015010344,17-1559,7/12/2018
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016013033,,1/25/2017
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016012779,,1/25/2017
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016013024,,1/25/2017
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016013021,,1/25/2017
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016013022,,1/25/2017
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016013018,,1/25/2017
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016011466,,11/7/2016
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016011460,,11/7/2016
Defaults and Dismissals,Dixie Lodge Assisted Living Facility,2016011465,,11/7/2016
Settlement Agreements,Dixie Manor,2004007605,04-487PH,3/4/2005
Settlement Agreements,Dixie Manor,2005002308,05-209PH,7/8/2005
Defaults and Dismissals,Dixie Manor,2004006048,,1/3/2005
Defaults and Dismissals,Dixie Manor,2005003943,,8/15/2005
Settlement Agreements,Dixie Manor,2004005124,,9/14/2004
Defaults and Dismissals,Dixie Medical Center Inc,2015009188,15-414PH,12/22/2015
Defaults and Dismissals,Dixie Oak Manor LLC,2012011254,,5/31/2013
Defaults and Dismissals,"Dixie Oak Manor, LLC",2009008012,,12/11/2009
Defaults and Dismissals,Dixie R. Raymond,"CI 11-2949-000, CI 11-2948-000",,7/7/2011
Defaults and Dismissals,Dixon Family Care LLC,2021017284,,2/28/2022
Settlement Agreements,Diyonne L McGraw,CI 11-3496-000,11-2735MPI,12/9/2011
Defaults and Dismissals,Dj Kids Family Services,2026005503,,5/19/2026
Defaults and Dismissals,Dja G Dugue-Wright,2025-000000506,,11/18/2025
Defaults and Dismissals,DJO LLC,2025006828,,7/14/2025
Defaults and Dismissals,DJO LLC,2025006828,,7/28/2025
Defaults and Dismissals,Djuana Winston,2020009702,,7/14/2020
Defaults and Dismissals,DKA Network Healthcare,CI 00-0546-012/3 - EDW,,3/13/2002
Settlement Agreements,DLC Nurse & Learn Inc,2019009465,19-379PH,10/14/2019
Defaults and Dismissals,DLC Rehab Services Inc,2018-0014266,,6/27/2019
Settlement Agreements,DLM Home Care Services ALF,2009008539,,9/1/2009
Defaults and Dismissals,DLM Home Care Services ALF,2011010432,,1/25/2012
Defaults and Dismissals,DLM Home Care Services LLC,2022008355,22-355PH,10/10/2022
Defaults and Dismissals,DLY Case Management Services LLC,2021-0021394,,7/13/2022
Defaults and Dismissals,DLY Case Management Services LLC,"2023-000021955, 2023-0024081",,7/17/2023
Defaults and Dismissals,D'Manila Garden Inc,2021004746,,8/23/2021
Defaults and Dismissals,DMC Regency Residence Ltd dba Regency Residence,10-00-006-ALF,,10/5/2000
Defaults and Dismissals,DME Shoppe,2019-0015010,,10/3/2019
Defaults and Dismissals,Dme Shoppe Ft Myers Inc,2005001856,,4/12/2005
Defaults and Dismissals,DME Specialist Inc,02-01-0001-HME,01-30PH,2/15/2002
,"DME Suplimed, Inc",,96-5818,4/28/1997
Settlement Agreements,DME Tennessee LLC,2021003774,21-163PH,5/7/2021
Recommended Orders,DML Enterprises Inc dba Sunshine Home Health Agency,2010002375,10-201PH,9/10/2010
Defaults and Dismissals,DMR Homecare Solutions,2022001804,,3/25/2022
Defaults and Dismissals,DMY Rehab Center Inc,2016002018,,3/15/2016
Settlement Agreements,DNA Center LLC,2015003303,15-182PH,6/23/2015
Defaults and Dismissals,DNA Comprehensive Therapy Services LLC,2018-0010757,,10/26/2018
Defaults and Dismissals,DNC Reliable Kare LLC,2025003797,,6/30/2025
Defaults and Dismissals,DNE Direct Care Services LLC,2020-0018935,,2/25/2021
Defaults and Dismissals,DNVO Home Healthcare Services LLC,2017002896,17-6237,1/23/2018
Defaults and Dismissals,DNVO Inc,2020-0019348,,1/14/2021
Defaults and Dismissals,Do Medical Group Corp,2024009892,,9/4/2024
Defaults and Dismissals,Doc Medical Supply Inc,2005002518,,6/8/2005
Settlement Agreements,Doc Road LLC,2022013641,22-541PH,12/12/2022
Defaults and Dismissals,DOCCS,2016001042,,3/7/2016
Defaults and Dismissals,Doctor Jeffrey Press,2008006340,,6/6/2008
Defaults and Dismissals,Doctor Jeffrey Press,2008006339,,6/9/2008
Defaults and Dismissals,Doctor Jeffrey Press,2008006137,,6/11/2008
Defaults and Dismissals,Doctor Risciles Walk In,2008010445,,11/18/2008
Settlement Agreements,Doctor Today TLC LLC,2014007370,14-325PH,12/15/2014
Defaults and Dismissals,Doctor Today Urgent Care LLC,2012006501,,7/31/2012
Settlement Agreements,Doctor United Group Inc,2022009459,22-389PH,8/11/2022
Defaults and Dismissals,Doctors Care of Palm Coast,2002047319,,1/8/2003
Defaults and Dismissals,Doctors Care of Palm Coast,2014009638,14-414PH,12/18/2014
Settlement Agreements,Doctor's Choice,2014011826,15-045PH,4/30/2015
Defaults and Dismissals,Doctors Choice Home Care Inc,2015001062,,3/31/2015
Settlement Agreements,Doctors Choice Home Care Inc,2010009098,,11/29/2010
Settlement Agreements,Doctor's Choice Home Care Inc,2009002635,09-2132,8/27/2009
Recommended Orders,Doctor's Choice Home Care Inc,2009002302,09-124PH,5/27/2010
Settlement Agreements,Doctor's Choice Home Health Care,2009002303,09-113PH,12/1/2009
Defaults and Dismissals,Doctor's Choice Home Health Care,2010008799,,11/15/2010
Settlement Agreements,Doctor's Choice Home Health Care Inc dba Doctor's Choice Home,2009002855,09-338PH,10/20/2009
Defaults and Dismissals,Doctor's Choice Medical Inc,2006008982,,8/28/2008
Defaults and Dismissals,Doctor'S Choice Medical Inc,2004005445,,11/1/2004
Defaults and Dismissals,Doctor's Choice Medical Inc,2006002796,,2/23/2007
Defaults and Dismissals,Doctor's Choice Medical Inc,2002041721,,9/26/2002
Defaults and Dismissals,Doctors Choice Medical Rental & Supplies Inc,2007004386,,10/16/2008
Settlement Agreements,Doctor's Choice Medical Rental And Supplies Inc,CI 10-9957-000,11-1590MPI,11/15/2011
Defaults and Dismissals,Doctors Data Inc,2011010420,,11/15/2011
Settlement Agreements,Doctors Data Inc,2011011846,11-846PH,1/10/2012
Settlement Agreements,Doctors Data Inc,2015012189,,2/1/2016
Defaults and Dismissals,Doctors Express,2011005903,,12/15/2011
Settlement Agreements,Doctors Express of St Petersburg,2016000350,,8/18/2016
Defaults and Dismissals,"Doctors Grabois, Firestone & Lebow, PA",CI 08-6695-000,,9/5/2008
Defaults and Dismissals,Doctors Health,2023015463,,6/17/2024
Defaults and Dismissals,Doctors Health Group Corp,2020015610,,12/22/2020
Defaults and Dismissals,Doctors Health Group Of South Florida Inc,2009004529,,8/19/2009
Defaults and Dismissals,Doctors Health Group Of South Florida Inc,2009003794,,7/15/2009
Settlement Agreements,Doctors Health Group of South Florida Inc,2020008660,,4/14/2021
Settlement Agreements,Doctors Health Group of South Florida Inc,2020008563,,4/14/2021
Settlement Agreements,Doctors Health Group of South Florida Inc,2020002977,20-154PH,9/15/2020
Defaults and Dismissals,Doctors Health Group of South Florida Inc,2014010697,,11/26/2014
Settlement Agreements,Doctors Health Group Of South Florida Inc,2010012989,10-884PH,1/26/2011
Defaults and Dismissals,Doctors Hospital,"2009004998, 10-0020",,5/21/2009
Defaults and Dismissals,Doctors Hospital,2008013096; 10-0020,,11/25/2008
Defaults and Dismissals,Doctors Hospital,2008006073,,6/13/2008
Defaults and Dismissals,Doctors Hospital,2020008774,,5/28/2020
Defaults and Dismissals,Doctors Hospital,2018010953,,8/6/2018
Defaults and Dismissals,Doctors Hospital,2016014129,,8/30/2018
Defaults and Dismissals,Doctors Hospital,2018003801,,12/14/2018
Defaults and Dismissals,Doctors Hospital,2019007521,,5/30/2019
Defaults and Dismissals,Doctors Hospital,2011003414,,4/4/2011
Defaults and Dismissals,Doctors Hospital,2010004670,,5/7/2010
Defaults and Dismissals,Doctors Hospital,2012004489,,5/3/2012
Defaults and Dismissals,Doctors Hospital,2014005048,,6/2/2014
Defaults and Dismissals,Doctors Hospital,2013008849,,9/19/2013
Defaults and Dismissals,Doctors Hospital,15-166-MPF,,4/13/2015
Defaults and Dismissals,Doctors Hospital,2015008526,,12/18/2015
Defaults and Dismissals,Doctors Hospital,2016009562,,10/26/2016
Defaults and Dismissals,Doctor's Hospital,2017010713,,12/22/2017
Defaults and Dismissals,Doctors Hospital Clinical Laboratory,2010006930,10-654PH,10/28/2010
Settlement Agreements,Doctors Hospital Inc,"2004000586, 522, 530, 549, 584, 583, 588; 2005005391, 5384, 5393, 5385, 5394, 5395, 5386, 5388, 5397, 5389, 5398, 5402, 5392, 5390, 5401, 5387, 5396; 2006001600, 1595, 1598, 1597, 1593, 1594, 1592, 1589, 1596",,8/9/2006
Defaults and Dismissals,Doctors Hospital Inc,2007010948,,10/24/2007
Defaults and Dismissals,Doctors Hospital Inc,CI 13-0081-000,,1/14/2015
Defaults and Dismissals,Doctors Hospital Inc,CI 14-0248-000,,11/19/2014
Defaults and Dismissals,Doctors Hospital Of Sarasota,2007010921,,10/19/2007
Defaults and Dismissals,Doctors Hospital Of Sarasota,2007002778,,7/9/2007
Defaults and Dismissals,Doctors Hospital of Sarasota,2008005456,,5/29/2008
Recommended Orders,Doctors Hospital of Sarasota,,00-3209,7/10/2001
Settlement Agreements,Doctors Hospital Of Sarasota,"2007013432, 2007013433",08-0726,4/7/2008
Defaults and Dismissals,Doctors Hospital of Sarasota,2008014148; 10-0166,,1/5/2009
Defaults and Dismissals,Doctors Hospital of Sarasota,2019011592,,8/7/2019
Defaults and Dismissals,Doctors Hospital of Sarasota,2018016746,,2/11/2019
Defaults and Dismissals,Doctors Hospital of Sarasota,2016014255,,8/30/2018
Defaults and Dismissals,Doctors Hospital of Sarasota,2018011752,,8/14/2018
Defaults and Dismissals,Doctors Hospital of Sarasota,2020013613,,9/8/2020
Defaults and Dismissals,Doctors Hospital of Sarasota,2014009070,,12/3/2014
Defaults and Dismissals,Doctors Hospital of Sarasota,15-211-MPF,,4/13/2015
Defaults and Dismissals,Doctors Hospital of Sarasota,2015011315,,11/23/2015
Settlement Agreements,Doctors Hospital Of Sarasota,2011003968,,3/12/2012
Defaults and Dismissals,Doctors Hospital Of Sarasota,2011007228,,7/13/2011
Defaults and Dismissals,Doctors Hospital of Sarasota,2013007856,,8/6/2013
Defaults and Dismissals,Doctors Hospital Of Sarasota,2012007808,,8/2/2012
Defaults and Dismissals,Doctor's Hospital Of Sarasota,"2009008733, 100166",,8/10/2009
Defaults and Dismissals,Doctor's Hospital of Sarasota,2016010496,,11/1/2016
Defaults and Dismissals,Doctor's Hospital of Sarasota,2016001144,,6/14/2016
Defaults and Dismissals,Doctor's Hospital Of Sarasota,2017010862,,12/19/2017
Defaults and Dismissals,Doctors Hospital of Sarasota LTD,,94-2433; 94-2434; 94-2981,4/19/1995
Defaults and Dismissals,Doctors Hospital Sarasota,2010008024,,8/10/2010
Defaults and Dismissals,"Doctors Independent Medical Enterprises, Inc.",2004005147,,8/5/2004
Settlement Agreements,Doctors Inlet Pediatrics and Primary Care,CI 07-4562-000,08-5832MPI,6/11/2009
Miscellaneous Orders,Doctors Laboratory,2007009678,07-03VW,1/25/2008
Settlement Agreements,Doctors Laboratory,2013001417,,3/15/2013
Defaults and Dismissals,Doctors Laboratory Inc,2007012450,,1/18/2008
Defaults and Dismissals,Doctors Laboratory Inc,2008013569,,2/25/2009
Defaults and Dismissals,Doctors Laboratory Inc,2014002537,,4/24/2014
Settlement Agreements,Doctors Laboratory Inc,2011001545,,3/14/2011
Settlement Agreements,Doctors Laboratory Of Ocala,2008010370,,10/22/2008
Settlement Agreements,Doctors Lake of Orange Park,04-00-002-NH,,2/28/2001
Defaults and Dismissals,Doctors Lake Of Orange Park,"2008002563, 2008002565",,5/22/2008
Defaults and Dismissals,Doctors Lake Of Orange Park,2004001031,,3/4/2004
Settlement Agreements,Doctors Lake Of Orange Park,"2004003589, 2004003068",04-225PH,1/27/2005
Settlement Agreements,Doctors Lake Of Orange Park,"2006004378, 2006004379",06-2668,12/19/2006
Defaults and Dismissals,Doctors Lake of Orange Park,2014003244,,7/21/2014
Defaults and Dismissals,Doctors Lake of Orange Park,2014001672,,7/3/2014
Defaults and Dismissals,Doctors Lake Of Orange Park,2013002283,,5/7/2013
Defaults and Dismissals,Doctors Lake of Orange Park,NH03-025C,04-448PH,9/14/2017
Settlement Agreements,Doctors Lake of Orange Park,NH17107,16-010PH,5/30/2017
Defaults and Dismissals,Doctors Lake of Orange Park,NH13-167G,,10/9/2014
Settlement Agreements,Doctor's Lake of Orange Park,10-09TPL,,3/12/2010
Settlement Agreements,Doctor's Lake of Orange Park,NH07-046J,,5/28/2015
Settlement Agreements,Doctors Medical Center,,00-4202,9/11/2001
Defaults and Dismissals,Doctors Medical Center,CI 10-1304-700,10-461PH,9/15/2011
Defaults and Dismissals,Doctors Medical Center Inc,2014008118,,9/22/2014
Defaults and Dismissals,Doctors Medical Center Inc,2014008138,,9/22/2014
Defaults and Dismissals,Doctors Medical Center Inc,2014008128,,9/22/2014
Settlement Agreements,Doctor's Medical Center Inc,2019012807,19-453PH,10/8/2019
Defaults and Dismissals,Doctor's Medical Center Inc,2014008137,,10/29/2014
Defaults and Dismissals,Doctor's Medical Center Inc,2014008134,,10/29/2014
Defaults and Dismissals,Doctor's Medical Center Inc,2014008124,,10/29/2014
Settlement Agreements,Doctor's Medical Center Inc,"2015001667, 2015001668, 2015001672, 2015001673, 2015001674, 2015001675",,6/23/2015
Settlement Agreements,Doctor's Medical Center Inc,2017000857,,3/17/2017
Defaults and Dismissals,Doctor's Medical Center Inc,CI 14-0370-000,,6/17/2014
Settlement Agreements,Doctors Medical Center Of Walton County PA,2009011295,,10/23/2009
Defaults and Dismissals,Doctors Medical Center Walton County PA,CI 14-1441-000,,8/7/2014
Settlement Agreements,"Doctor's Medical Center, Inc",CI 94-0765-000-S,95-2427,10/20/1995
Settlement Agreements,Doctors Medical Clinics Of Tampa LLC,2017001548,17-352PH,1/19/2018
Settlement Agreements,Doctor's Medical Group Inc,2015002434,15-102PH,5/6/2015
Defaults and Dismissals,Doctors Medical Pharmacy,CI 15-0012-000,,12/24/2014
Settlement Agreements,Doctor's Medical Pharmacy,CI 13-0250-000,,3/4/2013
,Doctor's Medical Rental Corp.,,96-126PH,5/12/1997
Settlement Agreements,Doctors Medical Rentals,TP00009,,12/3/2012
Defaults and Dismissals,Doctors Memorial Hosp,2010009708,,10/15/2010
Defaults and Dismissals,Doctors Memorial Hospital,2008012752; 10-0106,,11/18/2008
Defaults and Dismissals,Doctors Memorial Hospital,2009013714; 10-0078,,12/14/2009
Defaults and Dismissals,Doctors Memorial Hospital,2007010977,,11/2/2007
Defaults and Dismissals,Doctors Memorial Hospital,2003000581,,3/10/2003
Defaults and Dismissals,Doctors Memorial Hospital,2018002329,,2/20/2018
Defaults and Dismissals,Doctors Memorial Hospital,2016007158,,4/9/2018
Defaults and Dismissals,Doctors Memorial Hospital,2018011718,,8/14/2018
Defaults and Dismissals,Doctors Memorial Hospital,2019001194,,2/11/2019
Defaults and Dismissals,Doctors Memorial Hospital,2018003803,,12/14/2018
Defaults and Dismissals,Doctors Memorial Hospital,2018003806,,12/14/2018
Defaults and Dismissals,Doctors Memorial Hospital,2019012407,,9/18/2019
Defaults and Dismissals,Doctors Memorial Hospital,2019007487,,5/30/2019
Settlement Agreements,Doctors Memorial Hospital,2016014377,,12/1/2025
Defaults and Dismissals,Doctors Memorial Hospital,2010005047,,5/20/2010
Defaults and Dismissals,Doctors Memorial Hospital,2010003833,,5/24/2010
Defaults and Dismissals,Doctors Memorial Hospital,2011006688,,6/27/2011
Defaults and Dismissals,Doctors Memorial Hospital,2012002524,,3/16/2012
Recommended Orders,Doctors Memorial Hospital,2010001015,11-516PH,1/25/2012
Defaults and Dismissals,Doctors Memorial Hospital,2012004484,,5/3/2012
Defaults and Dismissals,Doctors Memorial Hospital,2013002546,,3/15/2013
Defaults and Dismissals,Doctors Memorial Hospital,2014007087,,7/24/2014
Defaults and Dismissals,Doctors Memorial Hospital,2014005078,,6/2/2014
Defaults and Dismissals,Doctors Memorial Hospital,2013008808,,9/19/2013
Settlement Agreements,Doctors Memorial Hospital,OPX-79,,2/3/2015
Defaults and Dismissals,Doctors Memorial Hospital,2015008517,,12/18/2015
Defaults and Dismissals,Doctors Memorial Hospital,2015008519,,12/18/2015
Defaults and Dismissals,Doctors Memorial Hospital,2017008977,,8/31/2017
